	species	Air_temp	Water_temp	Salinity	NH4	Silicate	PO4	NO2_NO3	Tidal_height
586	syn_9	15.7	15	34	0.26956796	568.920.077	7777	0.62883643	2.221
588	syn_9	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
589	syn_9	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
590	syn_9	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
592	syn_9	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
593	syn_9	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
594	syn_9	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
595	syn_9	9	11.5	34	7777	928.442.401	0.24797953	193.721.117	2.778
596	syn_9	13.7	12.2	34	0.31245337	669.121.430	7777	149.546.708	2.946
597	syn_9	13.5	12	34	0.44648775	786.365.667	7777	157.456.749	3.232
598	syn_9	9.5	11.3	34	0.34300256	697.263.111	7777	140.486.230	3.022
599	syn_9	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
600	syn_10	21.5	19.8	7777	0.663421426	2.891279198	0.106077048	0.346832485	1.36
601	syn_10	23	18.5	34	1.39859995	2.11237865	7777	0.63125864	0.302
602	syn_10	26.8	18	34	0.60610945	4.21971346	7777	7777	0.3
603	syn_10	21.5	17.8	34	0.13728068	4.57914812	7777	1.47610915	0.166
604	syn_10	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
605	syn_10	21.5	16.5	34	0.52505727	3.45161568	7777	5.10852963	1.104
606	syn_10	25.5	18.8	34	0.14743555	2.76116774	7777	7777	1.851
607	syn_10	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
608	syn_10	19.5	18.8	34	0.07227133	4.24216682	7777	7.36478308	2.813
609	syn_10	7777	7777	34	7777	3.02969798	7777	1.24992589	2.996
610	syn_10	17.8	7777	34	0.27492393	4.21989787	0.05520231	7777	2.847
611	syn_10	7777	7777	32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
612	syn_10	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
613	syn_10	21.3	17.8	34	7777	8.44858475	7777	1.24735746	1.601
614	syn_10	23	18	34	7777	7.18331736	0.07581914	0.88218234	1.54
615	syn_10	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
616	syn_10	28.3	20	34	7777	8.70254607	0.08373814	2.35319588	0.92
617	syn_10	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
618	syn_10	27.5	20	7777	0.67201408	8.38006167	7777	1.26698903	0.707
619	syn_10	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
620	syn_10	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
621	syn_10	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
622	syn_10	24.5	15.3	34	7777	9.81178629	7777	7777	2.988
623	syn_10	22.3	15.3	7777	0.22017042	7.85634114	0.2110399	2.07571329	3.232
624	syn_10	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
625	syn_10	22	16	34	7777	3.62048097	7777	7777	3.225
626	syn_10	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
627	syn_10	16.6	15.3	34	0.73863394	4.09706819	7777	2.22328082	0.908
628	syn_10	18.3	16	34	7777	2.1538272	7777	1.26792339	0.717
629	syn_10	21.3	16.2	34	0.20511208	5.66787229	7777	8.75177184	0.43
630	syn_10	21.3	16.2	34	0.20511208	5.66787229	7777	8.75177184	0.43
631	syn_10	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
632	syn_10	15.8	15	7777	0.645455514	8.220016333	0.188656596	3.358025986	1.842
633	syn_10	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
634	syn_10	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
635	syn_10	17	16.5	34	7777	2.47836526	7777	7777	2.902
636	syn_10	16.8	16.3	35	7777	4.55118337	7777	0.80323694	2.907
637	syn_10	24.5	16.1	34	0.12065417	5.68874843	7777	0.9802817	2.61
638	syn_10	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
639	syn_10	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
640	syn_10	24.5	15.4	34	7777	388.553.437	0.1362162	1.380.458.067	2.506
641	syn_10	19.5	15.6	34	7777	368.516.943	7777	0.39649923	1.56
642	syn_10	16	16.1	34	7777	192.760.767	7777	0.64420558	1.417
643	syn_10	23.5	16.1	34	7777	308.472.192	0.06192189	0.2512548	1.629
644	syn_10	23.4	15.8	7777	0.64088392	314.520.666	0.08225597	0.20502392	0.859
645	syn_10	20.5	16.6	34	7777	491.676.702	7777	398.961.658	0.7
646	syn_10	24	13.6	34	7777	929.448.892	0.35865647	479.394.157	0.767
647	syn_10	16.5	15	37	0.45541467	747.316.924	7777	340.940.811	0.687
648	syn_10	12.8	14.8	35	7777	560.788.915	0.22233358	194.980.151	1.902
649	syn_10	13.3	14.2	34	7777	335.568.200	7777	7777	2.096
650	syn_10	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
651	syn_10	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
652	syn_10	16	14.9	35	0.56071625	460.514.160	7777	0.77871442	2.764
653	syn_10	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
654	syn_10	15.7	15	34	0.26956796	568.920.077	7777	0.62883643	2.221
656	syn_10	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
657	syn_10	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
658	syn_10	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
660	syn_10	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
661	syn_10	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
662	syn_10	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
663	syn_10	9	11.5	34	7777	928.442.401	0.24797953	193.721.117	2.778
664	syn_10	13.7	12.2	34	0.31245337	669.121.430	7777	149.546.708	2.946
665	syn_10	13.5	12	34	0.44648775	786.365.667	7777	157.456.749	3.232
666	syn_10	9.5	11.3	34	0.34300256	697.263.111	7777	140.486.230	3.022
667	syn_10	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
668	syn_11	17.8	7777	34	0.27492393	4.21989787	0.05520231	7777	2.847
669	syn_11	23	18	34	7777	7.18331736	0.07581914	0.88218234	1.54
670	syn_11	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
671	syn_11	28.3	20	34	7777	8.70254607	0.08373814	2.35319588	0.92
672	syn_11	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
673	syn_11	27.5	20	7777	0.67201408	8.38006167	7777	1.26698903	0.707
674	syn_11	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
675	syn_11	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
676	syn_11	24.5	19.5	34	0.72933438	6.26473726	0.17687965	0.36307309	1.647
677	syn_11	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
678	syn_11	24.5	15.3	34	7777	9.81178629	7777	7777	2.988
679	syn_11	22.3	15.3	7777	0.22017042	7.85634114	0.2110399	2.07571329	3.232
680	syn_11	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
681	syn_11	22	16	34	7777	3.62048097	7777	7777	3.225
682	syn_11	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
683	syn_11	16.6	15.3	34	0.73863394	4.09706819	7777	2.22328082	0.908
684	syn_11	18.3	16	34	7777	2.1538272	7777	1.26792339	0.717
685	syn_11	21.3	16.2	34	0.20511208	5.66787229	7777	8.75177184	0.43
686	syn_11	21.3	16.2	34	0.20511208	5.66787229	7777	8.75177184	0.43
687	syn_11	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
688	syn_11	15.8	15	7777	0.645455514	8.220016333	0.188656596	3.358025986	1.842
689	syn_11	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
690	syn_11	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
691	syn_11	17	16.5	34	7777	2.47836526	7777	7777	2.902
692	syn_11	16.8	16.3	35	7777	4.55118337	7777	0.80323694	2.907
693	syn_11	24.5	16.1	34	0.12065417	5.68874843	7777	0.9802817	2.61
694	syn_11	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
695	syn_11	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
696	syn_11	24.5	15.4	34	7777	388.553.437	0.1362162	1.380.458.067	2.506
697	syn_11	16	16.1	34	7777	192.760.767	7777	0.64420558	1.417
698	syn_11	23.4	15.8	7777	0.64088392	314.520.666	0.08225597	0.20502392	0.859
699	syn_11	24	13.6	34	7777	929.448.892	0.35865647	479.394.157	0.767
700	syn_11	16.5	15	37	0.45541467	747.316.924	7777	340.940.811	0.687
701	syn_11	13.3	14.2	34	7777	335.568.200	7777	7777	2.096
702	syn_11	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
703	syn_11	16	14.9	35	0.56071625	460.514.160	7777	0.77871442	2.764
704	syn_11	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
706	syn_11	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
707	syn_11	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
708	syn_11	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
710	syn_11	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
711	syn_11	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
712	syn_11	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
713	syn_11	9	11.5	34	7777	928.442.401	0.24797953	193.721.117	2.778
714	syn_11	13.7	12.2	34	0.31245337	669.121.430	7777	149.546.708	2.946
715	syn_11	13.5	12	34	0.44648775	786.365.667	7777	157.456.749	3.232
716	syn_11	9.5	11.3	34	0.34300256	697.263.111	7777	140.486.230	3.022
717	syn_11	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
718	syn_12	27	17.5	34	7777	7777	7777	7777	2.856
719	syn_12	26	17	34	7777	7777	7777	7777	1.594
720	syn_12	29	20	34	7777	7777	7777	7777	1.23
721	syn_12	23	15	34	7777	7777	7777	7777	1.118
722	syn_12	23	17.5	34	7777	7777	7777	7777	0.609
723	syn_12	23.5	18.3	7777	0.857251761	2.337330274	0.069182486	0.625133203	0.52
724	syn_12	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
725	syn_12	28.3	11	34	0.18212627	6.61638308	7777	1.21387498	1.016
726	syn_12	25.5	7777	7777	0.86768967	7.05001699	0.33053471	2.40520795	1.601
727	syn_12	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
728	syn_12	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
729	syn_12	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
730	syn_12	26.5	12.8	34	7777	4.10791588	7777	7777	3.13
731	syn_12	25.5	13.8	7777	0.21565437	3.99431553	0.10142842	0.31993432	2.477
732	syn_12	20.8	15.8	7777	0.26956796	3.99431553	7777	1.42315613	2.153
733	syn_12	24.3	18	34	0.86120177	2.79666094	7777	0.90450944	1.375
734	syn_12	21.5	19.8	7777	0.663421426	2.891279198	0.106077048	0.346832485	1.36
735	syn_12	23	18.5	34	1.39859995	2.11237865	7777	0.63125864	0.302
736	syn_12	26.8	18	34	0.60610945	4.21971346	7777	7777	0.3
737	syn_12	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
738	syn_12	21.5	16.5	34	0.52505727	3.45161568	7777	5.10852963	1.104
739	syn_12	19.5	18.8	34	0.07227133	4.24216682	7777	7.36478308	2.813
740	syn_12	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
741	syn_12	24.5	15.3	34	7777	9.81178629	7777	7777	2.988
742	syn_12	22.3	15.3	7777	0.22017042	7.85634114	0.2110399	2.07571329	3.232
743	syn_12	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
744	syn_12	22	16	34	7777	3.62048097	7777	7777	3.225
745	syn_12	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
746	syn_12	15.8	15	7777	0.645455514	8.220016333	0.188656596	3.358025986	1.842
747	syn_12	24.5	16.1	34	0.12065417	5.68874843	7777	0.9802817	2.61
748	syn_12	19.5	15.6	34	7777	368.516.943	7777	0.39649923	1.56
