	species	Day 	Air_temp	Water_temp	Salinity	NH4	Silicate	PO4	NO2_NO3	Tidal_height			
101	syn_2	218	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941			
102	syn_2	219	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479			
103	syn_2	220	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899			
104	syn_2	221	26.5	12.8	34	NA	4.10791588	NA	NA	3.13			
105	syn_2	222	25.5	13.8	NA	0.21565437	3.99431553	0.10142842	0.31993432	2.477			
106	syn_2	223	20.8	15.8	NA	0.26956796	3.99431553	NA	1.42315613	2.153			
107	syn_2	224	24.3	18	34	0.86120177	2.79666094	NA	0.90450944	1.375			
108	syn_2	225	21.5	19.8	NA	0.663421426	2.891279198	0.106077048	0.346832485	1.36			
109	syn_2	226	23	18.5	34	1.39859995	2.11237865	NA	0.63125864	0.302			
110	syn_2	227	26.8	18	34	0.60610945	4.21971346	NA	NA	0.3			
111	syn_2	228	21.5	17.8	34	0.13728068	4.57914812	NA	1.47610915	0.166			
112	syn_2	229	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533			
113	syn_2	230	21.5	16.5	34	0.52505727	3.45161568	NA	5.10852963	1.104			
114	syn_2	231	25.5	18.8	34	0.14743555	2.76116774	NA	NA	1.851			
115	syn_2	233	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456			
116	syn_2	234	19.5	18.8	34	0.07227133	4.24216682	NA	7.36478308	2.813			
117	syn_2	235	NA	NA	34	NA	3.02969798	NA	1.24992589	2.996			
118	syn_2	236	17.8	NA	34	0.27492393	4.21989787	0.05520231	NA	2.847			
119	syn_2	237	NA	NA	32	0.47109591	5.21808205	0.28624272	1.72108027	2.833			
120	syn_2	238	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848			
121	syn_2	239	21.3	17.8	34	NA	8.44858475	NA	1.24735746	1.601			
122	syn_2	240	23	18	34	NA	7.18331736	0.07581914	0.88218234	1.54			
123	syn_2	241	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34			
124	syn_2	243	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816			
125	syn_2	244	27.5	20	NA	0.67201408	8.38006167	NA	1.26698903	0.707			
126	syn_2	245	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749			
127	syn_2	246	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556			
128	syn_2	248	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279			
129	syn_2	249	24.5	15.3	34	NA	9.81178629	NA	NA	2.988			
130	syn_2	250	22.3	15.3	NA	0.22017042	7.85634114	0.2110399	2.07571329	3.232			
131	syn_2	251	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544			
132	syn_2	252	22	16	34	NA	3.62048097	NA	NA	3.225			
133	syn_2	253	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311			
134	syn_2	255	16.6	15.3	34	0.73863394	4.09706819	NA	2.22328082	0.908			
135	syn_2	256	18.3	16	34	NA	2.1538272	NA	1.26792339	0.717			
136	syn_2	257	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
137	syn_2	258	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
138	syn_2	259	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021			
139	syn_2	260	15.8	15	NA	0.645455514	8.220016333	0.188656596	3.358025986	1.842			
140	syn_2	261	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776			
141	syn_2	262	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504			
142	syn_2	263	17	16.5	34	NA	2.47836526	NA	NA	2.902			
143	syn_2	264	16.8	16.3	35	NA	4.55118337	NA	0.80323694	2.907			
144	syn_2	265	24.5	16.1	34	0.12065417	5.68874843	NA	0.9802817	2.61			
145	syn_2	266	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512			
146	syn_2	267	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636			
147	syn_2	268	24.5	15.4	34	NA	388.553.437	0.1362162	1.380.458.067	2.506			
148	syn_2	269	19.5	15.6	34	NA	368.516.943	NA	0.39649923	1.56			
149	syn_2	272	23.4	15.8	NA	0.64088392	314.520.666	0.08225597	0.20502392	0.859			
150	syn_2	274	24	13.6	34	NA	929.448.892	0.35865647	479.394.157	0.767			
151	syn_2	275	16.5	15	37	0.45541467	747.316.924	NA	340.940.811	0.687			
152	syn_2	276	12.8	14.8	35	NA	560.788.915	0.22233358	194.980.151	1.902			
153	syn_2	277	13.3	14.2	34	NA	335.568.200	NA	NA	2.096			
154	syn_2	278											
155	syn_2	279	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596			
156	syn_2	280	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427			
157	syn_2	281	16	14.9	35	0.56071625	460.514.160	NA	0.77871442	2.764			
158	syn_2	282	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998			
159	syn_2	283	15.7	15	34	0.26956796	568.920.077	NA	0.62883643	2.221			
160	syn_2	284											
161	syn_2	285	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855			
162	syn_2	286	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605			
163	syn_2	287	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872			
164	syn_2	288											
165	syn_2	289	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505			
166	syn_2	290	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673			
167	syn_2	291	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665			
168	syn_2	292	9	11.5	34	NA	928.442.401	0.24797953	193.721.117	2.778			
169	syn_2	293	13.7	12.2	34	0.31245337	669.121.430	NA	149.546.708	2.946			
170	syn_2	294	13.5	12	34	0.44648775	786.365.667	NA	157.456.749	3.232			
171	syn_2	295	9.5	11.3	34	0.34300256	697.263.111	NA	140.486.230	3.022			
172	syn_2	296	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655			
173	syn_3	210	23	15	34	NA	NA	NA	NA	1.118			
174	syn_3	211	24	17	34	NA	NA	NA	NA	0.83			
175	syn_3	213	NA	19	33	NA	NA	NA	NA	0.46			
176	syn_3	214	23.5	18.3	NA	0.857251761	2.337330274	0.069182486	0.625133203	0.52			
177	syn_3	215	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609			
178	syn_3	216	28.3	11	34	0.18212627	6.61638308	NA	1.21387498	1.016			
179	syn_3	217	25.5	NA	NA	0.86768967	7.05001699	0.33053471	2.40520795	1.601			
180	syn_3	218	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941			
181	syn_3	219	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479			
182	syn_3	220	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899			
183	syn_3	221	26.5	12.8	34	NA	4.10791588	NA	NA	3.13			
184	syn_3	222	25.5	13.8	NA	0.21565437	3.99431553	0.10142842	0.31993432	2.477			
185	syn_3	223	20.8	15.8	NA	0.26956796	3.99431553	NA	1.42315613	2.153			
186	syn_3	224	24.3	18	34	0.86120177	2.79666094	NA	0.90450944	1.375			
187	syn_3	225	21.5	19.8	NA	0.663421426	2.891279198	0.106077048	0.346832485	1.36			
188	syn_3	226	23	18.5	34	1.39859995	2.11237865	NA	0.63125864	0.302			
189	syn_3	227	26.8	18	34	0.60610945	4.21971346	NA	NA	0.3			
190	syn_3	228	21.5	17.8	34	0.13728068	4.57914812	NA	1.47610915	0.166			
191	syn_3	229	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533			
192	syn_3	230	21.5	16.5	34	0.52505727	3.45161568	NA	5.10852963	1.104			
193	syn_3	231	25.5	18.8	34	0.14743555	2.76116774	NA	NA	1.851			
194	syn_3	233	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456			
195	syn_3	234	19.5	18.8	34	0.07227133	4.24216682	NA	7.36478308	2.813			
196	syn_3	236	17.8	NA	34	0.27492393	4.21989787	0.05520231	NA	2.847			
197	syn_3	237	NA	NA	32	0.47109591	5.21808205	0.28624272	1.72108027	2.833			
198	syn_3	238	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848			
199	syn_3	239	21.3	17.8	34	NA	8.44858475	NA	1.24735746	1.601			
200	syn_3	240	23	18	34	NA	7.18331736	0.07581914	0.88218234	1.54			
201	syn_3	241	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34			
202	syn_3	242	28.3	20	34	NA	8.70254607	0.08373814	2.35319588	0.92			
203	syn_3	243	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816			
204	syn_3	244	27.5	20	NA	0.67201408	8.38006167	NA	1.26698903	0.707			
205	syn_3	245	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749			
206	syn_3	246	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556			
207	syn_3	248	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279			
208	syn_3	249	24.5	15.3	34	NA	9.81178629	NA	NA	2.988			
209	syn_3	250	22.3	15.3	NA	0.22017042	7.85634114	0.2110399	2.07571329	3.232			
210	syn_3	251	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544			
211	syn_3	252	22	16	34	NA	3.62048097	NA	NA	3.225			
212	syn_3	255	16.6	15.3	34	0.73863394	4.09706819	NA	2.22328082	0.908			
213	syn_3	256	18.3	16	34	NA	2.1538272	NA	1.26792339	0.717			
214	syn_3	257	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
215	syn_3	258	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
216	syn_3	259	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021			
217	syn_3	260	15.8	15	NA	0.645455514	8.220016333	0.188656596	3.358025986	1.842			
218	syn_3	261	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776			
219	syn_3	262	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504			
220	syn_3	263	17	16.5	34	NA	2.47836526	NA	NA	2.902			
221	syn_3	265	24.5	16.1	34	0.12065417	5.68874843	NA	0.9802817	2.61			
222	syn_3	266	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512			
223	syn_3	267											
224	syn_3	269	19.5	15.6	34	NA	368.516.943	NA	0.39649923	1.56			
225	syn_3	272	23.4	15.8	NA	0.64088392	314.520.666	0.08225597	0.20502392	0.859			
226	syn_3	275	16.5	15	37	0.45541467	747.316.924	NA	340.940.811	0.687			
227	syn_3	280	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427			
228	syn_3	281	16	14.9	35	0.56071625	460.514.160	NA	0.77871442	2.764			
229	syn_3	282	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998			
230	syn_3	283	15.7	15	34	0.26956796	568.920.077	NA	0.62883643	2.221			
231	syn_3	284											
232	syn_3	286	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605			
233	syn_3	287	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872			
234	syn_3	288											
235	syn_3	289	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505			
236	syn_3	290	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673			
237	syn_3	291	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665			
238	syn_3	292	9	11.5	34	NA	928.442.401	0.24797953	193.721.117	2.778			
239	syn_3	293	13.7	12.2	34	0.31245337	669.121.430	NA	149.546.708	2.946			
240	syn_3	294	13.5	12	34	0.44648775	786.365.667	NA	157.456.749	3.232			
241	syn_3	295	9.5	11.3	34	0.34300256	697.263.111	NA	140.486.230	3.022			
242	syn_3	296	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655			
243	syn_4 	205	27	17.5	34	NA	NA	NA	NA	2.856			
244	syn_4 	207	21	20	33	NA	NA	NA	NA	1.949			
245	syn_4 	208	26	17	34	NA	NA	NA	NA	1.594			
246	syn_4 	209	29	20	34	NA	NA	NA	NA	1.23			
247	syn_4 	211	24	17	34	NA	NA	NA	NA	0.83			
248	syn_4 	214	23.5	18.3	NA	0.857251761	2.337330274	0.069182486	0.625133203	0.52			
249	syn_4 	215	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609			
250	syn_4 	216	28.3	11	34	0.18212627	6.61638308	NA	1.21387498	1.016			
251	syn_4 	217	25.5	NA	NA	0.86768967	7.05001699	0.33053471	2.40520795	1.601			
252	syn_4 	219	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479			
253	syn_4 	222	25.5	13.8	NA	0.21565437	3.99431553	0.10142842	0.31993432	2.477			
254	syn_4 	226	23	18.5	34	1.39859995	2.11237865	NA	0.63125864	0.302			
255	syn_4 	227	26.8	18	34	0.60610945	4.21971346	NA	NA	0.3			
256	syn_4 	228	21.5	17.8	34	0.13728068	4.57914812	NA	1.47610915	0.166			
257	syn_4 	229	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533			
258	syn_4 	230	21.5	16.5	34	0.52505727	3.45161568	NA	5.10852963	1.104			
259	syn_4 	231	25.5	18.8	34	0.14743555	2.76116774	NA	NA	1.851			
260	syn_4 	233	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456			
261	syn_4 	234	19.5	18.8	34	0.07227133	4.24216682	NA	7.36478308	2.813			
262	syn_4 	235	NA	NA	34	NA	3.02969798	NA	1.24992589	2.996			
263	syn_4 	236	17.8	NA	34	0.27492393	4.21989787	0.05520231	NA	2.847			
264	syn_4 	237	NA	NA	32	0.47109591	5.21808205	0.28624272	1.72108027	2.833			
265	syn_4 	238	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848			
266	syn_4 	239	21.3	17.8	34	NA	8.44858475	NA	1.24735746	1.601			
267	syn_4 	243	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816			
268	syn_4 	244	27.5	20	NA	0.67201408	8.38006167	NA	1.26698903	0.707			
269	syn_4 	245	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749			
270	syn_4 	246	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556			
271	syn_4 	248	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279			
272	syn_4 	256	18.3	16	34	NA	2.1538272	NA	1.26792339	0.717			
273	syn_4 	257	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
274	syn_4 	258	21.3	16.2	34	0.20511208	5.66787229	NA	8.75177184	0.43			
275	syn_4 	259	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021			
276	syn_4 	260	15.8	15	NA	0.645455514	8.220016333	0.188656596	3.358025986	1.842			
277	syn_4 	261	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776			
278	syn_4 	262	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504			
279	syn_4 	263	17	16.5	34	NA	2.47836526	NA	NA	2.902			
280	syn_4 	264	16.8	16.3	35	NA	4.55118337	NA	0.80323694	2.907			
281	syn_4 	265	24.5	16.1	34	0.12065417	5.68874843	NA	0.9802817	2.61			
282	syn_4 	266	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512			
283	syn_4 	267											
284	syn_4 	268	24.5	15.4	34	NA	388.553.437	0.1362162	1.380.458.067	2.506			
285	syn_4 	272	23.4	15.8	NA	0.64088392	314.520.666	0.08225597	0.20502392	0.859			
286	syn_4 	280	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427			
287	syn_4 	281	16	14.9	35	0.56071625	460.514.160	NA	0.77871442	2.764			
288	syn_5 	205	27	17.5	34	NA	NA	NA	NA	2.856			
289	syn_5 	206	NA	NA	NA	NA	NA	NA	NA	2.605			
290	syn_5 	207	21	20	33	NA	NA	NA	NA	1.949			
291	syn_5 	208	26	17	34	NA	NA	NA	NA	1.594			
292	syn_5 	209	29	20	34	NA	NA	NA	NA	1.23			
293	syn_5 	210	23	15	34	NA	NA	NA	NA	1.118			
294	syn_5 	211	24	17	34	NA	NA	NA	NA	0.83			
295	syn_5 	212	23	17.5	34	NA	NA	NA	NA	0.609			
296	syn_5 	213	NA	19	33	NA	NA	NA	NA	0.46			
297	syn_5 	214	23.5	18.3	NA	0.857251761	2.337330274	0.069182486	0.625133203	0.52			
298	syn_5 	215	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609			
299	syn_5 	216	28.3	11	34	0.18212627	6.61638308	NA	1.21387498	1.016			
300	syn_5 	217	25.5	NA	NA	0.86768967	7.05001699	0.33053471	2.40520795	1.601			
301	syn_5 	218	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941			
302	syn_5 	219	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479			
303	syn_5 	220	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899			
304	syn_5 	221	26.5	12.8	34	NA	4.10791588	NA	NA	3.13			
305	syn_5 	222	25.5	13.8	NA	0.21565437	3.99431553	0.10142842	0.31993432	2.477			
306	syn_5 	223	20.8	15.8	NA	0.26956796	3.99431553	NA	1.42315613	2.153			
307	syn_5 	224	24.3	18	34	0.86120177	2.79666094	NA	0.90450944	1.375			
308	syn_5 	225	21.5	19.8	NA	0.663421426	2.891279198	0.106077048	0.346832485	1.36			
309	syn_5 	226	23	18.5	34	1.39859995	2.11237865	NA	0.63125864	0.302			
310	syn_5 	227	26.8	18	34	0.60610945	4.21971346	NA	NA	0.3			
311	syn_5 	228	21.5	17.8	34	0.13728068	4.57914812	NA	1.47610915	0.166			
312	syn_5 	229	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533			
313	syn_5 	230	21.5	16.5	34	0.52505727	3.45161568	NA	5.10852963	1.104			
314	syn_5 	231	25.5	18.8	34	0.14743555	2.76116774	NA	NA	1.851			
315	syn_5 	233	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456			
316	syn_5 	234	19.5	18.8	34	0.07227133	4.24216682	NA	7.36478308	2.813			
317	syn_5 	235	NA	NA	34	NA	3.02969798	NA	1.24992589	2.996			
318	syn_5 	236	17.8	NA	34	0.27492393	4.21989787	0.05520231	NA	2.847			
319	syn_5 	237	NA	NA	32	0.47109591	5.21808205	0.28624272	1.72108027	2.833			
320	syn_5 	238	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848			
321	syn_5 	239	21.3	17.8	34	NA	8.44858475	NA	1.24735746	1.601			
322	syn_5 	240	23	18	34	NA	7.18331736	0.07581914	0.88218234	1.54			
