	species	bio_1	bio_2	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11
131	species7	0	0.310162438	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
132	species7	0	0.379469788	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
133	species7	0.041419364	0.25584086	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
134	species8	0	0.16297171	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
135	species8	0.022452206	0.05110932	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
136	species8	0.073428324	0.272511898	0.372017982	0.153307299	0.115392635	0.036203509	0.057760819	26.9	25.2	0.3
137	species8	0.026607941	0.121100586	0.414776745	0.072521022	0.167756682	0.055767966	0	27.2	22.5	8.6
138	species8	0	0.230919887	0.249615229	0.109538395	0.120903502	0.025288782	0	23.2	26.3	0
139	species8	0.04679412	0.273350606	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
140	species8	0.033579238	0.668184646	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
141	species8	0.063613026	0.491428636	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
142	species8	0.033168572	0.452412268	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
143	species8	0.003068004	0.653405698	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
144	species8	0	0.221237592	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
145	species8	0	0.310162438	0.278626619	0.106621432	0.07636979	0.066942884	0	26.3	24.6	0.4
146	species8	0	0.379469788	0.274120208	0.097713494	0.132099731	0.088283775	0	22.7	25.8	0
147	species8	0.041419364	0.25584086	0.384045726	0.114860789	0.165264018	0.097082829	0	22.6	22	2.8
